time,open,high,low,close
2016-09-12,607.26975,612.56375,604.01075,610.09475
2016-09-19,610.3325,611.7125,592.1705,600.1595
2016-09-26,600.152,616.19225,598.71,610.80925
2016-10-03,610.7945,619.613,607.24275,615.745
2016-10-10,615.34775,642.86125,614.28475,640.9375
2016-10-17,640.54275,661.335,624.7885,651.99325
2016-10-24,651.34,721.9625,644.24425,698.44925
2016-10-31,698.2025,747,672.69175,713.39925
2016-11-07,713.2775,743.2425,684.67925,702.0125
2016-11-14,702.34475,756.495,696.59275,729.02925
2016-11-21,729.2925,750.7635,724.6975,728.71
2016-11-28,728.69875,779.274,726.5025,766.17
2016-12-05,766.1575,776.41375,745.3145,770.61025
2016-12-12,770.52125,792.245,769.03025,790.95525
2016-12-19,790.16025,921.225,787.9025,895.14225
2016-12-26,895.0725,1004.635,890.795,996.34775
2017-01-02,997.19425,1158.945,809.835,915.99975
2017-01-09,914.73525,922.7475,748.49525,827.50975
2017-01-16,827.24275,941.0775,822.19875,926.2425
2017-01-23,925.8625,928.8725,881.5165,914.968
2017-01-30,915.325,1044.20525,912.925,1014.2965
2017-02-06,1013.4025,1078.3975,931.739,1004.87925
2017-02-13,1004.88075,1070.4535,983.1975,1055.5025
2017-02-20,1055.4995,1217.57325,1047.31775,1178.2475
2017-02-27,1178.6,1293.585,1160.45225,1273.486
2017-03-06,1272.6525,1336.4955,969.965,1229.79725
2017-03-13,1229.62975,1263.815,934.00025,1016.50675
2017-03-20,1012.5125,1118.074,888.84775,965.52375
2017-03-27,964.7975,1112.77625,955.56325,1101.72725
2017-04-03,1101.12275,1218.84,1100.77525,1209.5625
2017-04-10,1208.9825,1232.5605,1101.26425,1174.827
2017-04-17,1174.736,1255.5,1170.4775,1246.07
2017-04-24,1246.515,1366.5875,1238.65425,1362.02675
2017-05-01,1360.16525,1639.1525,1347.69,1567.7285
2017-05-08,1568.2035,1887.904,1562.633,1791.51
2017-05-15,1791.0425,2088.01675,1683.3425,2027.914
2017-05-22,2026.94175,2766.83425,1871.6825,2194.89325
2017-05-29,2192.41325,2590.45075,2113.20025,2523.05775
2017-06-05,2523.6295,2964.112,2519.335,2959.51975
2017-06-12,2959.5215,2975.7475,2076.18475,2512.4655
2017-06-19,2513.206,2778.4875,2424.8675,2498.21975
2017-06-26,2498.899,2598.565,2264.655,2508.61025
2017-07-03,2507.23275,2638.635,2466.22025,2502.82275
2017-07-10,2503.035,2523.43875,1799.3,1910.16225
2017-07-17,1909.64,2944.9775,1905.6255,2756.4875
2017-07-24,2758.61,2830.9035,2404.6555,2753.8375
2017-07-31,2754.68475,3339.1875,2632.8575,3224.683
2017-08-07,3223.681,4199.2975,3186.7875,4061.17
2017-08-14,4061.17,4475.5,3812.4975,4059.4735
2017-08-21,4058.90275,4462.2225,3600.8675,4339.2825
2017-08-28,4338.187,4977.475,4189.9045,4621.195
2017-09-04,4620.55,4683.76,4086.6375,4252.04
2017-09-11,4252.0875,4381.0175,2974.3825,3704.605
2017-09-18,3704.5475,4125.9075,3514.9325,3668.48
2017-09-25,3668.5025,4391.0525,3665.845,4386.1175
2017-10-02,4385.195,4612.025,4146.9675,4598.9925
2017-10-09,4599.5925,5859.43,4551.75,5687.0025
2017-10-16,5686.3575,6181.9725,5104.475,5986.655
2017-10-23,5982.465,6280.1925,5379.4275,6135.035
2017-10-30,6135.395,7596.1975,6027.52,7384.79
2017-11-06,7383.5975,7881.0075,5495.165,5871.5225
2017-11-13,5861.4375,8071.2425,5824,8023.845
2017-11-20,8023.8475,9456.4,7787.0975,9288.17
2017-11-27,9290.1525,11834.5025,9082.85,11251.5775
2017-12-04,11253.3025,17330.155,10914.075,15037.4975
2017-12-11,15037.47,19804.2475,14987.5725,19128.2725
2017-12-18,19128.3225,19302.2525,10843.9825,14059.955
2017-12-25,14047.4525,16506.43,12290.96,13888.3225
2018-01-01,13888.35,17222.6125,12900.97,16144.1975
2018-01-08,16153.8125,16238.775,12814.5025,13660.4225
2018-01-15,13660.3975,14342.38,9144.25,11541.66
2018-01-22,11533.6325,11898.32,9953.385,11621.1475
2018-01-29,11618.87,11699.0775,7593.5625,8163.0125
2018-02-05,8164.595,9082.45,5893.765,8067.4975
2018-02-12,8072.7625,11294.475,8067.6425,10408.5275
2018-02-19,10413.595,11773.775,9296.2125,9590.7575
2018-02-26,9592.1075,11509.25,9391.51,11478.115
2018-03-05,11479.9675,11662.5375,8376.5,9531.515
2018-03-12,9534.0825,9894.975,7314.8425,8190.1825
2018-03-19,8194.5075,9182.975,8101.545,8452.075
2018-03-26,8453.6575,8498.3575,6442.2625,6812.6375
2018-04-02,6815.535,7514.135,6511.6675,7021.1225
2018-04-09,7026.335,8411.2475,6612.285,8357.55
2018-04-16,8360.46,9043.8175,7812.28,8799.1925
2018-04-23,8793,9757.9425,8630.5725,9396.8725
2018-04-30,9396.505,9949.775,8823.3,9607.08
2018-05-07,9606.715,9624.7525,8219.11,8691.595
2018-05-14,8693.46,8891.7075,7927.11,8517.3525
2018-05-21,8520.1,8589.4975,7215.575,7342.2625
2018-05-28,7342.575,7784.65,7047.96,7709.2075
2018-06-04,7711.3325,7756.5175,6632.975,6772.345
2018-06-11,6772.42,6911.7725,6125.01,6446.43
2018-06-18,6448.17,6839.0425,5743.85,6150.87
2018-06-25,6149.29,6521.69,5784.4,6347.705
2018-07-02,6346.33,6837.65,6270.845,6703.5375
2018-07-09,6702.955,6807.3775,6073.8275,6345.355
2018-07-16,6349.0475,7682.6725,6331.6,7398.9675
2018-07-23,7397.8875,8489.015,7375.7025,8215.66
2018-07-30,8214.5025,8279.9475,6884.995,7030.395
2018-08-06,7028.605,7166.2075,5995.65,6314.31
2018-08-13,6313.935,6634.1475,5889,6484.53
2018-08-20,6485.1425,6903.49,6226.955,6706.6875
